column_name,question_text,question_type,value,value_label,group
record,record number,continuous,,,
uuid,participant identifier,text,,,
qtime,Total interview time,continuous,-99999,,
qtime,Total interview time,continuous,99999,,
start_date,survey start time,text,,,
date,completition time and date,text,,,
status,participant status,categorical,1,Terminated,
status,participant status,categorical,2,Overquota,
status,participant status,categorical,3,Qualified,
status,participant status,categorical,4,Partial,
S1,Which of the following best describes the items your company delivers to customers?,categorical,1,Hard Goods,
S1,Which of the following best describes the items your company delivers to customers?,categorical,2,Soft Goods,
S1,Which of the following best describes the items your company delivers to customers?,categorical,3,Process Goods,
S1,Which of the following best describes the items your company delivers to customers?,categorical,4,Energy Services,
S2,What hard goods does your company primarily produce?,categorical,1,"Aerospace and Defense: aircraft propulsion, aircraft and airframes, avionics and defense electronics, space systems, land systems, etc.",
S2,What hard goods does your company primarily produce?,categorical,2,"Transportation and Mobility: automotive, truck, bus, and specialty vehicles, motorbikes and bikes, rail systems, etc.",
S2,What hard goods does your company primarily produce?,categorical,3,"Heavy Equipment: mining equipment, agricultural equipment, construction equipment, industrial trucks and tractors",
S2,What hard goods does your company primarily produce?,categorical,4,"Industrial and Commercial Machinery: Machine tools, metal cutting or forming equipment, specialty equipment, printing machinery",
S2,What hard goods does your company primarily produce?,categorical,5,"Industrial Components: Pumps, Blowers, Fans, Shafts, Bearings, Fasteners, etc.",
S2,What hard goods does your company primarily produce?,categorical,6,"Consumer Electronics: Household appliances, fans, electric lighting and wiring equipment, household audio and video equipment, telephone, radio, and broadcasting equipment",
S2,What hard goods does your company primarily produce?,categorical,7,"MedTech, Medical Equipment, and Devices: medical devices (e.g. Pacemakers, CPAP machines, etc.), medical equipment (e.g. MRI machines, X-RAY machines, etc.)",
S3,What process goods does your company primarily produce?,categorical,1,"Pharmaceuticals and Nutraceuticals: drug development and manufacturing (analgesics, antibiotics, anticonvulsants, antihistamines, hormone regulators as pills, powders, capsules, liquids and syrups, ointments, creams, and injectables)",
S3,What process goods does your company primarily produce?,categorical,2,"Chemicals: inorganic chemicals (acids, bases, salts, non-metal minerals) organic chemicals (hydrocarbons, alcohols, aldehydes and ketones, esters), functional (solvents, polymers, dyes and pigments, surfactants), hazards (flamables, oxidizers, corrosives, toxic materials), biologicals and pharmaceuticals (proteins, carbohydrates, lipids, nucleic acids), environmental and industrial (pesticides, fertilizers, plasticizers)",
S3,What process goods does your company primarily produce?,categorical,3,"Food and Beverage: grains and cereals (bread, cereals, pasta, rice), fruits and vegetables, dairy products (milk, cheese, yogurts), proteins (meat, poultry, fish, seafood, nuts, seeds), snacks, sweets, beverages",
S3,What process goods does your company primarily produce?,categorical,4,"Cosmetics and Beauty: skin care, hair care, makeup, fragrance products, personal care (deodorants, body washes, oral hygiene), nail care, cosmetic tools and accessories",
S4,What was your company's revenue last year?,categorical,1,"Startup, Pre-Revenue",
S4,What was your company's revenue last year?,categorical,2,Under US $20M,
S4,What was your company's revenue last year?,categorical,3,Between $20M and $50M,
S4,What was your company's revenue last year?,categorical,4,Between $50M and $100M,
S4,What was your company's revenue last year?,categorical,5,Between $100M and $300M,
S4,What was your company's revenue last year?,categorical,6,Between $300M and $500M,
S4,What was your company's revenue last year?,categorical,7,Between $500M and $1B,
S4,What was your company's revenue last year?,categorical,8,Between $1B and $5B,
S4,What was your company's revenue last year?,categorical,9,Over $5B,
S4,What was your company's revenue last year?,categorical,10,Cannot or will not say,
hS4,Company Size Category,categorical,1,Startup,S4
hS4,Company Size Category,categorical,2,Small,S4
hS4,Company Size Category,categorical,3,Medium,S4
hS4,Company Size Category,categorical,4,Large,S4
hS4,Company Size Category,categorical,5,Huge,S4
hS4,Company Size Category,categorical,6,Colossal,S4
S5,In which country are you located?,categorical,1,United States,
S5,In which country are you located?,categorical,2,Canada,
S5,In which country are you located?,categorical,3,Mexico,
S5,In which country are you located?,categorical,4,Argentina,
S5,In which country are you located?,categorical,5,Bolivia,
S5,In which country are you located?,categorical,6,Chile,
S5,In which country are you located?,categorical,7,Colombia,
S5,In which country are you located?,categorical,8,Ecuador,
S5,In which country are you located?,categorical,9,Paraguay,
S5,In which country are you located?,categorical,10,Peru,
S5,In which country are you located?,categorical,11,Uruguay,
S5,In which country are you located?,categorical,12,Brazil,
S5,In which country are you located?,categorical,13,Guyana,
S5,In which country are you located?,categorical,14,Suriname,
S5,In which country are you located?,categorical,15,Venezuela,
S5,In which country are you located?,categorical,16,United Kingdom (England),
S5,In which country are you located?,categorical,17,France,
S5,In which country are you located?,categorical,18,Germany,
S5,In which country are you located?,categorical,19,Italy,
S5,In which country are you located?,categorical,20,Spain,
S5,In which country are you located?,categorical,21,Ireland,
S5,In which country are you located?,categorical,22,Denmark,
S5,In which country are you located?,categorical,23,Finland,
S5,In which country are you located?,categorical,24,Netherlands,
S5,In which country are you located?,categorical,25,Norway,
S5,In which country are you located?,categorical,26,Sweden,
S5,In which country are you located?,categorical,27,Austria,
S5,In which country are you located?,categorical,28,Belgium,
S5,In which country are you located?,categorical,29,Switzerland,
S5,In which country are you located?,categorical,30,Luxembourg,
S5,In which country are you located?,categorical,31,Albania,
S5,In which country are you located?,categorical,32,Andorra,
S5,In which country are you located?,categorical,33,Bosnia,
S5,In which country are you located?,categorical,34,Herzegovina,
S5,In which country are you located?,categorical,35,Croatia,
S5,In which country are you located?,categorical,36,Cyprus,
S5,In which country are you located?,categorical,37,Greece,
S5,In which country are you located?,categorical,38,Malta,
S5,In which country are you located?,categorical,39,Montenegro,
S5,In which country are you located?,categorical,40,Portugal,
S5,In which country are you located?,categorical,41,San Marino,
S5,In which country are you located?,categorical,42,Serbia,
S5,In which country are you located?,categorical,43,Slovenia,
S5,In which country are you located?,categorical,44,North Macedonia,
S5,In which country are you located?,categorical,45,Belarus,
S5,In which country are you located?,categorical,46,Bulgaria,
S5,In which country are you located?,categorical,47,Czech Republic (Czechia),
S5,In which country are you located?,categorical,48,Hungary,
S5,In which country are you located?,categorical,49,Moldova,
S5,In which country are you located?,categorical,50,Poland,
S5,In which country are you located?,categorical,51,Romania,
S5,In which country are you located?,categorical,52,Russia,
S5,In which country are you located?,categorical,53,Slovakia,
S5,In which country are you located?,categorical,54,Ukraine,
S5,In which country are you located?,categorical,55,Japan,
S5,In which country are you located?,categorical,56,South Korea,
S5,In which country are you located?,categorical,57,Taiwan,
S5,In which country are you located?,categorical,58,Philippines,
S5,In which country are you located?,categorical,59,Singapore,
S5,In which country are you located?,categorical,60,India,
S5,In which country are you located?,categorical,61,China,
S5,In which country are you located?,categorical,62,North Korea,
S5,In which country are you located?,categorical,63,Mongolia,
S5,In which country are you located?,categorical,64,Kazakhstan,
S5,In which country are you located?,categorical,65,Kyrgyzstan,
S5,In which country are you located?,categorical,66,Tajikistan,
S5,In which country are you located?,categorical,67,Turkmenistan,
S5,In which country are you located?,categorical,68,Uzbekistan,
S5,In which country are you located?,categorical,69,Brunei,
S5,In which country are you located?,categorical,70,Cambodia,
